N;Pregunta;Opcion_A;Opcion_B;Opcion_C;Opción_D;Respuesta_Correcta;Explicacion;Dominio_ECO;Oficial_PMI;Enfoque;Mindset _Clave
180;¿Cuál de los siguientes describe mejor el rol de un 'líder servidor' según el PMBOK 7?;Un gerente que asigna tareas y controla el cumplimiento de plazos;Un líder que antepone las necesidades del equipo para potenciar su desempeño y bienestar;Un patrocinador que provee recursos al equipo;Un director que reporta resultados al comité de dirección;B;El liderazgo servidor es un principio clave del PMBOK 7: el líder sirve al equipo eliminando obstáculos, promoviendo el crecimiento y poniendo al equipo en primer lugar.;Personas;Tarea 2: Liderar un equipo;Ágil;PMI Mindset: Servant Leader = el líder sirve al equipo. Elimina obstáculos, no controla ni microgestiona.
181;Un equipo ágil identifica durante el sprint que una historia de usuario tiene una dependencia técnica que no fue detectada durante el refinamiento. Esto amenaza el Sprint Goal. ¿Qué debe hacerse?;Eliminar la historia del sprint sin informar al Product Owner;El equipo debe discutirlo con el Product Owner para re-evaluar el Sprint Goal o ajustar el alcance del sprint;Extender el sprint automáticamente;Escalar al patrocinador para obtener recursos adicionales;B;La transparencia y la colaboración son fundamentales en Scrum. El equipo debe comunicar el impedimento al Product Owner para tomar decisiones informadas sobre el Sprint Goal. Dificultad: Media;Personas;Tarea 3: Apoyar el desempeño;Ágil;PMI Mindset: Transparencia primero. Cualquier impedimento que amenace el Sprint Goal debe comunicarse al Product Owner de inmediato.
182;"¿Cuál de los siguientes es un ejemplo del dominio de desempeño de ""Incertidumbre"" en PMBOK 7?";Desarrollar la EDT del proyecto;Identificar, analizar y responder a riesgos y ambigüedades del proyecto;Planificar la comunicación con interesados;Definir los criterios de aceptación de los entregables;B;El dominio de Incertidumbre en PMBOK 7 abarca actividades relacionadas con la gestión de riesgos, ambigüedad y volatilidad que pueden afectar los resultados del proyecto. Dificultad: Alta;Entorno;Tarea 2: Evaluar beneficios;Híbrido;PMI Mindset PMBOK 7: El dominio de Incertidumbre cubre riesgos, ambigüedad y volatilidad. No confundas con el dominio de Entrega.
183;Estás gestionando un proyecto internacional y descubres que un miembro del equipo, al negociar con un proveedor local, aceptó un regalo de alto valor para agilizar una adjudicación. ¿Qué debes hacer PRIMERO como director del proyecto?;Ignorarlo si el proveedor seleccionado es técnicamente competente;Confrontar al miembro del equipo y reportar la situación siguiendo las políticas éticas de la organización;Cancelar el contrato con el proveedor de inmediato;Consultar al equipo legal antes de tomar cualquier acción;B;El Código de Ética del PMI requiere actuar con honestidad e integridad. Aceptar regalos que influyen en decisiones de negocio es una violación ética que debe reportarse según los procedimientos de la organización. Dificultad: Media;Personas;Tarea 7: Demostrar liderazgo;Predictivo;Ética PMI: Conflicto de interés = reportar. Un regalo que influye decisiones viola el Código de Ética. La honestidad es no negociable.
184;¿Qué herramienta del PMBOK 7 ayuda a visualizar el estado actual del sistema del proyecto, sus partes interconectadas y las relaciones de causa-efecto entre variables?;Diagrama de Gantt;Pensamiento sistémico (Systems Thinking);EDT/WBS;Registro de interesados;B;El pensamiento sistémico es una herramienta del PMBOK 7 que permite al director del proyecto comprender las interrelaciones complejas dentro y fuera del proyecto. Dificultad: Alta;Entorno;Tarea 3: Evaluar y gestionar riesgos;Híbrido;PMI Mindset PMBOK 7: Pensamiento sistémico = ver el proyecto como sistema de partes interconectadas. Herramienta clave para complejidad.
185;Un proyecto tiene: EV = 120,000, PV = 150,000, AC = 100,000. ¿Cuál de las siguientes afirmaciones es CORRECTA?;El proyecto está atrasado y sobre presupuesto;El proyecto está adelantado y bajo presupuesto;El proyecto está atrasado pero es eficiente en costos;El proyecto está en tiempo y sobre presupuesto;C;SPI = EV/PV = 120,000/150,000 = 0.80 (atrasado, < 1). CPI = EV/AC = 120,000/100,000 = 1.20 (eficiente en costos, > 1). Atrasado pero bajo presupuesto.;Procesos;Tarea 4: Gestionar presupuesto;Predictivo;Fórmula EVM: SPI=EV/PV (<1=atrasado), CPI=EV/AC (>1=bajo presupuesto). Pueden ser independientes: atrasado Y eficiente en costos.
186;"En el contexto del PMBOK 7, ¿cuál es el propósito principal del dominio de desempeño de ""Entrega""?";Gestionar los riesgos del proyecto;Asegurar que el proyecto produzca los entregables que satisfagan los requisitos;Planificar la comunicación con los interesados;Gestionar el presupuesto del proyecto;B;El dominio de Entrega se enfoca en actividades que producen entregables de calidad que satisfacen los requisitos acordados y generan valor. Dificultad: Alta;Entorno;Tarea 2: Evaluar beneficios;Híbrido;PMI Mindset PMBOK 7: Dominio de Entrega = actividades que producen entregables de calidad que generan valor para los interesados.
187;Durante la planificación, se determina que el proyecto tiene alta complejidad técnica, requisitos estables y regulación estricta. El cliente requiere aprobaciones formales en cada fase. ¿Qué ciclo de vida es el más adecuado?;Ágil con sprints de dos semanas;Predictivo con revisiones de fase formales;Híbrido con componente ágil dominante;Iterativo sin hitos formales;B;Cuando los requisitos son estables, hay regulación estricta y se requieren aprobaciones formales por fase, el ciclo de vida predictivo es el más apropiado.;Procesos;Tarea 13: Determinar metodología;Predictivo;PMI Mindset: Predictivo = requisitos estables + regulación estricta + aprobaciones por fase. Si hay cambios frecuentes, elige ágil.
188;¿Qué principio del PMBOK 7 se aplica cuando el director del proyecto adapta el enfoque de gestión según las características únicas del proyecto y su contexto?;Crear un entorno colaborativo;Demostrar comportamientos de liderazgo;Enfocarse en el valor;Adaptar en función del contexto;D;El principio de adaptación (tailoring) reconoce que no existe un enfoque único: el director debe ajustar los métodos, herramientas y artefactos al contexto específico del proyecto. Dificultad: Alta;Procesos;Tarea 13: Determinar metodología;Híbrido;PMI Mindset PMBOK 7: Tailoring (adaptación) = no hay solución única. Ajusta métodos al contexto. Siempre justifica tus decisiones.
189;Un director de proyecto recibe una solicitud de cambio de un interesado que agregaría funcionalidad valiosa pero no estaba en el alcance original. El análisis de impacto muestra +15% en costo y +3 semanas. El comité de cambios aprueba. ¿Cuál es el siguiente paso?;Implementar inmediatamente el cambio;Actualizar el plan para la dirección del proyecto, las líneas base y comunicar a los interesados relevantes;Notificar solo al equipo de desarrollo;Esperar al siguiente ciclo de planificación;B;Tras la aprobación de un cambio, se deben actualizar todas las líneas base afectadas (alcance, cronograma, costo) y el plan para la dirección del proyecto, y comunicar a todos los interesados pertinentes.;Procesos;Tarea 10: Gestionar cambios;Predictivo;Orden de acciones post-cambio: 1) Actualizar líneas base afectadas, 2) Actualizar el plan del proyecto, 3) Comunicar a interesados.
190;¿Cuál de las siguientes opciones describe mejor el concepto de 'complejidad' en el contexto del PMBOK 7?;Un proyecto con muchas actividades en el cronograma;Características de un proyecto con muchas partes interconectadas cuyo comportamiento es difícil de predecir;Un proyecto con alto presupuesto y muchos recursos;Un proyecto con más de 50 interesados identificados;B;La complejidad en PMBOK 7 se refiere a características como interdependencias, comportamiento emergente, ambigüedad y dinámica de sistemas que hacen difícil predecir los resultados.;Entorno;Tarea 3: Evaluar y gestionar riesgos;Híbrido;PMI Mindset PMBOK 7: Complejidad = interdependencias + comportamiento emergente + ambigüedad. No es sinónimo de dificultad técnica.
191;En un proyecto ágil, al finalizar el sprint 5, el cliente indica que la dirección del producto ha cambiado significativamente. Varias historias completadas ya no son relevantes. ¿Qué debe hacerse?;Continuar con el plan original ya que el trabajo fue aceptado;El Product Owner debe revisar y repriorizar el Product Backlog para reflejar la nueva dirección estratégica;Cancelar el proyecto y reiniciar;Ignorar el cambio hasta el final del proyecto;B;En proyectos ágiles, la adaptación al cambio es un valor fundamental. El Product Owner debe actualizar el backlog para maximizar el valor entregado según la nueva visión del cliente. Dificultad: Media;Procesos;Tarea 5: Gestionar alcance;Ágil;PMI Mindset Ágil: El cambio de visión del cliente es bienvenido. El Product Owner actualiza el backlog para maximizar el valor.
192;"¿Cuál es la diferencia entre ""calidad"" y ""grado"" en gestión de proyectos según el PMBOK?";No hay diferencia, son términos equivalentes;"La calidad es el grado en que los requisitos se satisfacen; el grado es la categoría asignada según funcionalidad";"El grado mide la satisfacción del cliente; la calidad mide el costo";"La calidad se aplica a personas; el grado a entregables";B;"Calidad: grado en que los requisitos se satisfacen. Grado: categoría basada en características funcionales (ej. hotel de 3 vs 5 estrellas). Bajo grado puede ser aceptable; baja calidad, nunca.";Procesos;Tarea 7: Gestionar calidad;Predictivo;"PMI Mindset: Calidad ≠ Grado. Calidad = cumplir requisitos. Grado = categoría funcional. Baja calidad NUNCA es aceptable; bajo grado puede serlo."
193;El director del proyecto de un programa de transformación digital debe decidir si continuar con un proyecto que ha consumido el 60% del presupuesto pero solo ha completado el 35% del alcance, con perspectivas de mejora inciertas. ¿Qué concepto económico es relevante aquí?;Costo de oportunidad;Costo hundido (sunk cost);Valor presente neto;Tasa interna de retorno;B;El costo hundido (sunk cost) es el dinero ya gastado que no puede recuperarse. Las decisiones de continuar o cancelar deben basarse en el valor futuro esperado, no en lo ya invertido.;Entorno;Tarea 2: Evaluar beneficios;Híbrido;PMI Mindset: Sunk cost = dinero ya gastado, irrelevante para decidir. Las decisiones deben basarse en valor futuro esperado, no en lo invertido.
194;¿Cuál de los siguientes dominios de desempeño del PMBOK 7 incluye actividades relacionadas con la estimación, presupuestación y monitoreo financiero del proyecto?;Dominio de entrega;Dominio de planificación;Dominio de trabajo del proyecto;Dominio de medición;B;El Dominio de Planificación en PMBOK 7 cubre las actividades necesarias para organizar, elaborar y coordinar el trabajo del proyecto, incluyendo estimaciones y presupuesto.;Entorno;Tarea 2: Evaluar beneficios;Híbrido;PMI Mindset PMBOK 7: Dominio de Planificación = organizar, elaborar y coordinar el trabajo, incluyendo estimaciones y presupuesto.
195;Un interesado de alto poder e interés bajo aparece constantemente bloqueando decisiones clave del proyecto. ¿Cuál es la estrategia más efectiva?;Ignorarlo dado su bajo interés declarado;Escalarlo al patrocinador para que sea removido del proyecto;Investigar sus preocupaciones reales, involucrarlos estratégicamente y personalizar la comunicación;Excluirlo de las reuniones para evitar bloqueos;C;Un interesado de alto poder que bloquea activamente indica que su interés real es mayor al registrado. Comprenderlo y gestionar proactivamente es clave para evitar que comprometa el proyecto.;Personas;Tarea 9: Comprometer interesados;Híbrido;PMI Mindset: Si un interesado bloquea más de lo esperado, su interés real es mayor al registrado. Revisar y actualizar la estrategia.
196;"En el enfoque ágil, ¿qué significa que un equipo sea ""autoorganizado""?";Que no necesita un Scrum Master;Que el equipo decide internamente cómo realizar el trabajo para alcanzar los objetivos;Que cada miembro trabaja de forma independiente sin coordinación;Que el equipo no necesita comunicarse con el Product Owner;B;Un equipo autoorganizado en Scrum tiene la autonomía para decidir cómo realizar el trabajo técnico, eligiendo sus métodos y distribuyendo tareas internamente para lograr el Sprint Goal.;Personas;Tarea 4: Empoderar miembros del equipo;Ágil;PMI Mindset Ágil: Autoorganizado = el equipo decide CÓMO hacer el trabajo técnico. El PM no asigna tareas individuales.
197;Un proyecto de TI tiene la siguiente información: TCPI (basado en BAC) = 1.25. ¿Qué indica este valor y cuál es la implicación para el proyecto?;"El proyecto es eficiente; puede relajar el control de costos";El proyecto debe ser 25% más eficiente en el trabajo restante para cumplir con el BAC original, lo que es muy exigente;El proyecto está dentro del presupuesto proyectado;El proyecto terminará bajo presupuesto;B;TCPI = (BAC-EV)/(BAC-AC). Un TCPI > 1 indica que el trabajo restante debe ejecutarse más eficientemente que el promedio hasta ahora. Un valor de 1.25 es muy ambicioso y generalmente indica que el BAC original es inalcanzable.;Procesos;Tarea 4: Gestionar presupuesto;Predictivo;Fórmula TCPI = (BAC-EV)/(BAC-AC). Si TCPI > 1, el trabajo restante debe ejecutarse más eficientemente que hasta ahora. > 1.1 = poco realista.
198;¿Cuál de las siguientes describe mejor el concepto de 'Definition of Done' (DoD) en Scrum?;La lista de tareas pendientes para el próximo sprint;Los criterios formales que un incremento debe cumplir para ser considerado completo;El criterio de aceptación de un interesado específico;El plan de pruebas del equipo de Q;B;La Definition of Done es un acuerdo compartido que describe los criterios mínimos que un incremento debe cumplir para ser transparente y aceptable como parte del producto.;Personas;Tarea 12: Establecer reglas del equipo;Ágil;PMI Mindset: Definition of Done = acuerdo compartido de criterios mínimos de calidad. No confundas con Criterios de Aceptación del Product Owner.
199;El proyecto está en fase de ejecución. El equipo identifica una oportunidad no planificada para reducir costos en un 20% adoptando una tecnología emergente, pero esto requiere reentrenamiento y modifica parte del alcance. ¿Qué debe hacer el director del proyecto?;Implementar la oportunidad inmediatamente para aprovecharla;Ignorarla ya que no estaba en el plan original;Documentarla como oportunidad, analizarla y someterla al proceso de control de cambios;Delegarla al equipo técnico para que la evalúe de forma autónoma;C;Los riesgos positivos (oportunidades) también deben gestionarse formalmente. Cualquier cambio que afecte el alcance debe pasar por el control integrado de cambios, incluso si es beneficioso.;Procesos;Tarea 3: Gestionar riesgos;Predictivo;PMI Mindset: Los riesgos positivos (oportunidades) también se gestionan formalmente. Identificar → Analizar → Respuesta (explotar, compartir, mejorar).
200;¿Cuál de los siguientes es un ejemplo de 'factor ambiental de la empresa' (EEF) que puede influir en la planificación de un proyecto?;Las plantillas de documentos de proyectos anteriores;La cultura organizacional y el estilo de gestión;Las lecciones aprendidas de proyectos pasados;Los procedimientos de control de cambios documentados;B;Los EEF son condiciones externas o internas no bajo control del equipo, como la cultura organizacional, condiciones del mercado y normativas. Las plantillas y lecciones aprendidas son activos de procesos (OPAs).;Entorno;Tarea 1: Gestionar cumplimiento;Predictivo;PMI Mindset: EEF = condiciones fuera del control del equipo (cultura, regulaciones, mercado). OPA = activos internos (procesos, plantillas).
201;En un proyecto con múltiples proveedores, uno de ellos entrega constantemente con calidad inferior a la acordada. El contrato es de tipo Precio Fijo. ¿Cuál es la acción más apropiada?;Aceptar los entregables para no retrasar el cronograma;Activar las cláusulas de penalidad del contrato y exigir corrección formal documentada;Cambiar el tipo de contrato a costo reembolsable;Asignar recursos internos para corregir los entregables del proveedor;B;En un contrato de Precio Fijo, el vendedor asume el riesgo de cumplir los requisitos al precio pactado. Activar cláusulas contractuales es la acción correcta y documentada para proteger los intereses del proyecto.;Procesos;Tarea 11: Gestionar adquisiciones;Predictivo;Contratos de Precio Fijo: El vendedor asume el riesgo de costo. Si entrega con mala calidad, el comprador puede exigir cumplimiento o penalidades.
202;¿Qué característica distingue a un proyecto de las operaciones continuas de una organización?;Los proyectos tienen más presupuesto que las operaciones;Los proyectos son temporales y producen un resultado único;Las operaciones son más complejas que los proyectos;Los proyectos no requieren gestión de recursos humanos;B;Por definición, un proyecto es un esfuerzo temporal que crea un producto, servicio o resultado único. Las operaciones son continuas y repetitivas.;Entorno;Tarea 1: Gestionar cumplimiento;Predictivo;PMI Mindset: Proyecto = temporal + único. Operaciones = continuas y repetitivas. La temporalidad es la característica definitoria del proyecto.
203;Un equipo distribuido globalmente en 5 zonas horarias enfrenta problemas de comunicación que están causando retrabajo. ¿Qué acción es la más efectiva para resolver esto?;Centralizar todas las decisiones en el director del proyecto;Revisar y actualizar el plan de gestión de comunicaciones, estableciendo protocolos claros para equipos distribuidos;Eliminar las reuniones asíncronas;Contratar un coordinador de comunicaciones externo;B;El plan de gestión de comunicaciones debe adaptarse a las necesidades del equipo. Para equipos distribuidos, establecer protocolos, canales y frecuencias adecuados es esencial para reducir el retrabajo.;Procesos;Tarea 8: Gestionar comunicaciones;Híbrido;PMI Mindset: Equipos distribuidos requieren adaptar el plan de comunicaciones. Zonas horarias distintas = combinar síncrono y asíncrono.
204;En el PMBOK 7, ¿cuál de los siguientes principios establece que los directores de proyectos deben actuar de manera ética y en el mejor interés de la organización y la sociedad?;Enfocarse en el valor;Ser un administrador diligente, respetuoso y cuidadoso;Involucrarse con los interesados;Adoptar la agilidad;B;El principio de administración (stewardship) implica actuar con integridad, cuidado y cumplimiento de obligaciones, siendo responsable de los recursos y el impacto de las decisiones.;Personas;Tarea 7: Demostrar liderazgo;Híbrido;PMI Mindset PMBOK 7: Stewardship = actuar con integridad, cuidar recursos, respetar la confianza depositada. Principio de administración responsable.
205;Al inicio del proyecto, el análisis de interesados identifica a un grupo con alto interés y alto poder que tiene expectativas contradictorias con el patrocinador. ¿Qué estrategia es la MÁS adecuada?;Dar prioridad absoluta al patrocinador por su rol formal;Ignorar al grupo hasta que presente objeciones formales;Involucrar a ambas partes en sesiones de alineación temprana para documentar acuerdos y gestionar expectativas;Excluir al grupo conflictivo del registro de interesados;C;Cuando hay interesados de alto poder con expectativas contradictorias, la gestión proactiva y la alineación temprana son críticas. Ignorar el conflicto en etapas iniciales lo amplifican en la ejecución.;Personas;Tarea 9: Comprometer interesados;Híbrido;PMI Mindset: Interesados con expectativas contradictorias = facilitar, no arbitrar. El objetivo es buscar consenso preservando el valor del proyecto.
206;¿Qué técnica de resolución de conflictos tiene mayor probabilidad de producir una solución duradera en un equipo de proyecto?;Forzar (imponer una solución);Suavizar (minimizar las diferencias);Colaborar (buscar soluciones que satisfagan a todas las partes);Retirarse (evitar el conflicto);C;La técnica de colaborar (confrontar/resolver problemas) aborda las causas raíz del conflicto y busca soluciones ganar-ganar, produciendo los resultados más duraderos.;Personas;Tarea 1: Gestionar conflictos;Híbrido;PMI Mindset: Colaborar/Confrontar = mejor técnica para soluciones duraderas. Aborda la causa raíz. Evitar o suavizar son soluciones temporales.
207;Un proyecto tiene un EAC de 800,000 y un BAC de 700,000. El EV actual es 350,000 y el AC es 420,000. ¿Cuál es el VAC del proyecto?;+100,000;-70,000;-100,000;+70,000;C;VAC = BAC - EAC = 700,000 - 800,000 = -100,000. Un VAC negativo confirma que se espera exceder el presupuesto original en 100,000.;Procesos;Tarea 4: Gestionar presupuesto;Predictivo;Fórmula EVM: VAC = BAC - EAC. VAC negativo = se proyecta exceder el presupuesto. Confirma con CPI < 1 que hay problema de costos.
208;¿Cuál es el propósito principal de una reunión de 'Sprint Planning' en Scrum?;Revisar el incremento completado con los interesados;Identificar mejoras al proceso del equipo;Definir el Sprint Goal y seleccionar los elementos del backlog a desarrollar en el sprint;Actualizar el estado del proyecto ante el patrocinador;C;En el Sprint Planning, el equipo colabora para establecer el Sprint Goal y determinar qué elementos del Product Backlog se pueden completar, creando el Sprint Backlog.;Procesos;Tarea 1: Ejecutar con urgencia;Ágil;PMI Mindset: Sprint Planning = establecer Sprint Goal + seleccionar items del backlog + crear plan de trabajo. El equipo define el HOW.
209;Un proyecto de desarrollo de software utiliza un enfoque híbrido. El módulo de integración con sistemas legacy es gestionado de forma predictiva, mientras que la interfaz de usuario es ágil. ¿Cómo se deben gestionar los riesgos del módulo predictivo?;Usar el registro de riesgos del componente ágil para ambos;Aplicar el proceso formal de identificación, análisis y respuesta a riesgos del componente predictivo;Ignorar los riesgos del módulo predictivo si el ágil va bien;Gestionar todos los riesgos solo en las retrospectivas del componente ágil;B;En entornos híbridos, cada componente mantiene su enfoque de gestión. El componente predictivo requiere los procesos formales de gestión de riesgos del PMBOK.;Procesos;Tarea 13: Determinar metodología;Híbrido;PMI Mindset Híbrido: Cada componente mantiene su enfoque. Legacy = Predictivo. Nuevos módulos = Ágil. No mezcles enfoques dentro del mismo componente.
210;¿Cuál es la finalidad principal de realizar una 'refinamiento del backlog' (backlog grooming) en un proyecto ágil?;Revisar el desempeño del equipo en el sprint anterior;Preparar y detallar los elementos del backlog para que estén listos para futuros sprints;Aprobar los entregables del sprint actual;Presentar el avance del proyecto al patrocinador;B;El refinamiento del backlog asegura que los elementos estén suficientemente detallados, estimados y priorizados para que el equipo pueda seleccionarlos en el próximo Sprint Planning.;Procesos;Tarea 3: Gestionar riesgos;Predictivo;PMI Mindset: Identificar riesgos es continuo, no solo al inicio. El Risk Register se actualiza durante todo el proyecto.
211;El director del proyecto recibe una solicitud del patrocinador de comprimir el cronograma en 3 semanas mediante crashing. El análisis muestra que el costo adicional sería 50,000. ¿Qué debe evaluar ANTES de recomendar esta acción?;Solo el costo adicional de los recursos;El impacto en riesgos, calidad, moral del equipo y si la compresión es factible en las actividades de la ruta crítica;Únicamente si el patrocinador tiene presupuesto disponible;Si el equipo acepta trabajar horas extra;B;El crashing tiene múltiples implicaciones: además del costo, puede aumentar riesgos, afectar la calidad y desmotivar al equipo. Una evaluación integral es esencial antes de recomendar.;Personas;Tarea 5: Capacitar al equipo;Híbrido;PMI Mindset: Antes de reemplazar a alguien, evalúa brechas de competencia. La capacitación es la respuesta preferida del PMI.
212;¿Qué representa la 'holgura total' (float/slack) en la gestión del cronograma?;El tiempo que una actividad puede atrasarse sin impactar la fecha de finalización del proyecto;El costo adicional reservado para riesgos;El tiempo total estimado de la ruta crítica;La diferencia entre el tiempo planificado y el real;A;La holgura total es el tiempo que una actividad puede retrasarse sin retrasar la fecha de finalización del proyecto. Las actividades de la ruta crítica tienen holgura cero.;Procesos;Tarea 6: Gestionar cronograma;Predictivo;Compresión de cronograma: Fast-tracking = actividades en paralelo (más riesgo). Crashing = agregar recursos (más costo). Elige según restricciones.
213;Durante una auditoría de adquisiciones, se descubre que el equipo de compras omitió evaluar a tres proveedores calificados en el proceso de licitación. ¿Cuál es el riesgo MÁS significativo de esta situación?;Que el proyecto se retrase por repetir el proceso;Incumplimiento de políticas de adquisición, posible conflicto de intereses y riesgo legal para la organización;Que el proveedor seleccionado sea más costoso;Que los proveedores excluidos presenten quejas;B;Omitir proveedores calificados puede violar políticas de adquisición, implicar conflictos de interés y exponer a la organización a riesgos legales y reputacionales, más allá del impacto en costos.;Procesos;Tarea 9: Comprometer interesados;Predictivo;PMI Mindset: Interesado resistente = entender sus preocupaciones. No lo ignores ni lo confrontes. Invierte tiempo en gestión proactiva.
214;En el PMBOK 7, el dominio de desempeño de 'Medición' tiene como objetivo principal:;Registrar todos los costos del proyecto;Evaluar el desempeño del proyecto y tomar acciones para mantener un desempeño aceptable;Medir la satisfacción de los miembros del equipo;Controlar los cambios de alcance del proyecto;B;El dominio de Medición en PMBOK 7 se centra en evaluar el desempeño del proyecto respecto a los planes y tomar acciones correctivas o preventivas para mantener el proyecto encaminado.;Procesos;Tarea 10: Gestionar cambios;Predictivo;Orden de acciones: Todo cambio debe pasar por el Proceso de Control Integrado. NUNCA implementar cambios sin aprobación del CCB.
215;Un proyecto ágil de 12 sprints está en el sprint 8. El velocity promedio es 40 puntos/sprint. Quedan 180 puntos en el backlog. Con la información disponible, ¿qué es lo más probable?;El proyecto terminará antes del sprint 12;El proyecto necesitará aproximadamente 4.5 sprints adicionales, excediendo el plan;El proyecto terminará exactamente en el sprint 12;El proyecto debe cancelarse por incumplimiento;B;Con velocity de 40 puntos/sprint y 180 puntos restantes, se necesitan 180/40 = 4.5 sprints más. Sumando al sprint 8 actual, se proyecta terminar cerca del sprint 12-13, potencialmente excediendo el plan.;Entorno;Tarea 4: Gestionar beneficios;Híbrido;PMI Mindset: El caso de negocio justifica la viabilidad económica. El director lo usa como referencia durante todo el proyecto para validar el valor.
216;"¿Cuál de los siguientes describe mejor el concepto de ""gestión del cambio organizacional"" en el contexto de proyectos?";El proceso formal para aprobar cambios de alcance;Las actividades para preparar, apoyar y guiar a las personas durante una transición generada por el proyecto;La actualización del plan de gestión del proyecto;El control de versiones de los entregables;B;La gestión del cambio organizacional (OCM) se enfoca en el elemento humano: preparar y apoyar a las personas para adoptar los cambios que el proyecto genera en la organización.;Personas;Tarea 11: Apoyar equipos virtuales;Híbrido;PMI Mindset: Equipo virtual = inversión en herramientas de colaboración asíncrona. La comunicación informal también debe facilitarse digitalmente.
217;Un director de proyecto debe decidir entre dos estrategias de respuesta a un riesgo: mitigar (costo 30,000, reduce probabilidad de 60% a 20%) o transferir (costo 15,000 de seguro, elimina el impacto). El impacto del riesgo es 100,000. ¿Cuál opción es financieramente más conveniente?;Mitigar: el costo esperado total es 50,000;Transferir: el costo total es 15,000, menor que cualquier alternativa;Aceptar: el costo esperado es 60,000 sin gastar en respuesta;Ambas estrategias son equivalentes;B;Transferir: 15,000 fijo. Mitigar: 30,000 + (20% x 100,000) = 30,000 + 20,000 = 50,000 esperado. Aceptar: 60% x 100,000 = 60,000 esperado. Transferir es la opción más económica.;Procesos;Tarea 5: Gestionar alcance;Ágil;PMI Mindset Ágil: El alcance se gestiona mediante el backlog priorizado. El Product Owner es el dueño del backlog y decide prioridades.
218;¿Qué rol juega el 'caso de negocio' (Business Case) durante el ciclo de vida del proyecto según el PMBOK 7?;Solo se usa al inicio para justificar el proyecto;Se revisa periódicamente para confirmar que el proyecto sigue siendo viable y alineado con los objetivos estratégicos;Es reemplazado por el acta de constitución una vez que el proyecto inicia;Solo lo gestiona el departamento financiero, no el director del proyecto;B;El Business Case no es solo un documento de inicio. Debe revisarse en puntos de decisión clave para confirmar que los beneficios esperados aún justifican la inversión continua en el proyecto.;Procesos;Tarea 17: Gestionar el cierre;Predictivo;Orden de cierre: 1) Aceptación formal del cliente, 2) Cierre de contratos, 3) Liberar recursos, 4) Lecciones aprendidas, 5) Cierre administrativo.
219;Durante la ejecución, el equipo detecta que la solución técnica planificada no cumplirá con los requisitos de desempeño del cliente, aunque lo hará dentro del plazo y presupuesto. ¿Qué debe hacer el director del proyecto?;Entregar la solución según el plan y notificar al cliente después;Iniciar el proceso de control de cambios para modificar el diseño técnico y comunicar proactivamente al cliente el impacto;Reducir los criterios de aceptación para que la solución actual los cumpla;Absorber el costo extra de mejoras sin informar al cliente;B;La integridad y la orientación al valor exigen que el director sea transparente. Entregar algo que no cumple los requisitos de desempeño del cliente no es un éxito, incluso si se cumple plazo y costo.;Personas;Tarea 6: Generar entendimiento compartido;Híbrido;PMI Mindset: La comunicación efectiva es bidireccional. Si el cliente no entiende, es responsabilidad del PM ajustar el canal o el mensaje.
220;¿Cuál es el propósito de los 'puntos de historia' en la estimación ágil?;Medir el tiempo exacto en horas que tomará una tarea;Representar el esfuerzo relativo, complejidad e incertidumbre de una historia de usuario;Calcular el costo de cada funcionalidad;Asignar prioridad a los elementos del backlog;B;Los puntos de historia son una medida relativa (no absoluta) que captura el esfuerzo, complejidad e incertidumbre de implementar una historia. Permiten estimar sin comprometerse a duraciones exactas.;Procesos;Tarea 7: Gestionar calidad;Predictivo;PMI Mindset: Calidad se planifica y previene. El costo de la no calidad siempre supera al costo de la prevención. Auditorías de calidad son proactivas.
221;El comité de dirección solicita al director del proyecto una proyección del costo final basada en el desempeño acumulado. El proyecto tiene: BAC = 600,000, EV = 240,000, AC = 300,000. ¿Cuál es el EAC?;660,000;720,000;750,000;690,000;C;CPI = EV/AC = 240,000/300,000 = 0.80. EAC = BAC/CPI = 600,000/0.80 = 750,000. El proyecto está siendo ineficiente en costos y se proyecta exceder el presupuesto en 150,000.;Personas;Tarea 3: Promover colaboración;Ágil;"PMI Mindset: En Daily Scrum, el equipo sincroniza para las próximas 24h. El Scrum Master facilita; no dirige. Impedimentos se escalan post-reunion."
222;¿Qué es el 'gold plating' y por qué debe evitarse en la gestión de proyectos?;Agregar funcionalidades extra no solicitadas que aumentan el riesgo y el costo;Usar materiales de alta calidad para mejorar el producto final;Negociar incentivos adicionales con proveedores;Documentar el alcance con mayor detalle del necesario;A;El gold plating es añadir características no requeridas. Aunque parece beneficioso, consume recursos, aumenta el riesgo y no genera valor aprobado, violando el principio de gestión del alcance.;Procesos;Tarea 2: Evaluar beneficios;Predictivo;"PMI Mindset: El Business Case evalúa viabilidad con ROI, VPN, TIR. El patrocinador lo aprueba; el PM lo gestiona como referencia de valor."
